,0
"(16, 12)",5.4
"(16, 13)",1.2
"(16, 14)",1.3
"(16, 15)",0.03
"(16, 21)",5.3
"(16, 22)",141.0
"(21, 1)",1.0
"(21, 2)",0.25
"(21, 3)",0.1
"(21, 4)",0.05
"(21, 5)",0.01
"(21, 6)",0.0
"(21, 7)",1.1
"(21, 8)",1.2
"(21, 9)",1.0
"(21, 10)",0.2
"(21, 11)",0.21
"(21, 12)",0.53
"(21, 13)",0.11
"(21, 14)",0.13
"(21, 15)",0.0
"(21, 16)",0.05
"(21, 22)",11.6
"(22, 1)",0.21
"(22, 2)",0.02
"(22, 3)",0.0
"(22, 4)",0.0
"(22, 5)",0.0
"(22, 6)",0.0
"(22, 7)",0.2
"(22, 8)",0.22
"(22, 9)",0.0
"(22, 10)",0.04
"(22, 11)",0.04
"(22, 12)",0.0
"(22, 13)",0.03
"(22, 14)",0.0
"(22, 15)",0.0
"(22, 16)",0.03
"(22, 21)",0.13
"(23, 1)",0.67
"(23, 2)",0.1
"(23, 3)",0.04
"(23, 4)",0.01
"(23, 5)",0.05
"(23, 6)",0.0
"(23, 7)",0.0
"(23, 8)",0.43
"(23, 9)",0.0
"(23, 10)",0.12
"(23, 11)",0.14
"(23, 12)",0.31
"(23, 13)",0.08
"(23, 14)",0.0
"(23, 15)",0.0
"(23, 16)",0.0
"(23, 21)",0.35
"(23, 22)",2.9
